"country","ISO3","Region","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Pakistan","PAK","AP",32,33,32,32,30,29,28,27,25,23,24,25,24,22,21,21,25,26,23,NA
"Moldova","MDA","ECA",32,33,31,30,33,35,35,36,29,29,33,29,NA,32,29,23,24,21,31,26
"Bolivia","BOL","AME",31,29,33,33,34,35,34,34,28,28,27,30,29,27,25,22,23,22,20,27
"Gabon","GAB","SSA",31,31,32,35,34,37,34,35,30,28,29,31,33,30,29,33,NA,NA,NA,NA
"Malawi","MWI","SSA",31,32,31,31,31,33,37,37,30,34,33,28,27,27,28,28,28,29,32,41
"Djibouti","DJI","SSA",30,31,31,30,34,34,36,36,30,32,28,30,29,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","AZE","ECA",30,25,31,30,29,29,28,27,24,24,23,19,21,24,22,19,18,20,20,15
"Ukraine","UKR","ECA",30,32,30,29,27,26,25,26,23,24,22,25,27,28,26,22,23,24,21,15
"Kyrgyzstan","KGZ","ECA",30,29,29,28,28,27,24,24,21,20,19,18,21,22,23,22,21,NA,NA,NA
"Maldives","MDV","AP",29,31,33,36,NA,NA,NA,NA,25,23,25,28,33,NA,NA,NA,NA,NA,NA,NA
"Togo","TGO","SSA",29,30,32,32,32,29,29,30,24,24,28,27,23,24,NA,NA,NA,NA,NA,NA
"Mali","MLI","SSA",29,32,31,32,35,32,28,34,28,27,28,31,27,28,29,32,30,NA,NA,NA
"Myanmar","MMR","AP",29,29,30,28,22,21,21,15,15,14,14,13,14,19,18,17,16,NA,NA,NA
"Laos","LAO","AP",29,29,29,30,25,25,26,21,22,21,20,20,19,26,33,NA,NA,NA,NA,NA
"Mexico","MEX","AME",29,28,29,30,31,35,34,34,30,31,33,36,35,33,35,36,36,36,37,33
"Guinea","GIN","SSA",29,28,27,27,25,25,24,24,21,20,18,16,19,19,NA,NA,NA,NA,NA,NA
"Liberia","LBR","SSA",28,32,31,37,37,37,38,41,32,33,31,24,21,NA,22,NA,NA,NA,NA,NA
"Dominican Republic","DOM","AME",28,30,29,31,33,32,29,32,26,30,30,30,30,28,30,29,33,NA,NA,NA
"Paraguay","PRY","AME",28,29,29,30,27,24,24,25,22,22,21,24,24,26,21,19,16,17,NA,NA
"Papua New Guinea","PNG","AP",28,28,29,28,25,25,25,25,22,21,21,20,20,24,23,26,21,NA,NA,NA
"Russia","RUS","ECA",28,28,29,29,29,27,28,28,24,21,22,21,23,25,24,28,27,27,23,21
"Lebanon","LBN","MENA",28,28,28,28,28,27,28,30,25,25,25,30,30,36,31,27,30,NA,NA,NA
"Kenya","KEN","SSA",28,27,28,26,25,25,27,27,22,21,22,21,21,22,21,21,19,19,20,21
"Mauritania","MRT","SSA",28,27,28,27,31,30,30,31,24,23,25,28,26,31,NA,NA,NA,NA,NA,NA
"Uganda","UGA","SSA",28,26,26,25,25,26,26,29,24,25,25,26,28,27,25,26,22,21,19,23
"Iran","IRN","MENA",26,28,30,29,27,27,25,28,27,22,18,23,25,27,29,29,30,NA,NA,NA
"Honduras","HND","AME",26,29,29,30,31,29,26,28,26,24,25,26,25,25,26,23,23,27,27,NA
"Guatemala","GTM","AME",26,27,28,28,28,32,29,33,27,32,34,31,28,26,25,22,24,25,29,NA
"Bangladesh","BGD","AP",26,26,28,26,25,25,27,26,27,24,24,21,20,20,17,15,13,12,4,NA
"Nigeria","NGA","SSA",26,27,27,28,26,27,25,27,24,24,25,27,22,22,19,16,14,16,10,12
"Mozambique","MOZ","SSA",26,23,25,27,31,31,30,31,27,27,25,26,28,28,28,28,27,NA,NA,22
"Angola","AGO","SSA",26,19,19,18,15,19,23,22,20,19,19,19,22,22,20,20,18,17,NA,17
"Comoros","COM","SSA",25,27,27,24,26,26,28,28,24,21,23,25,26,NA,NA,NA,NA,NA,NA,NA
"Cameroon","CMR","SSA",25,25,25,26,27,27,25,26,25,22,22,23,24,23,22,21,18,22,20,20
"Central African Republic","CAF","SSA",25,26,23,20,24,24,25,26,22,21,20,20,20,24,NA,NA,NA,NA,NA,NA
"Uzbekistan","UZB","ECA",25,23,22,21,19,18,17,17,16,16,17,18,17,21,22,23,24,29,27,24
"Tajikistan","TJK","ECA",25,25,21,25,26,23,22,22,23,21,20,NA,21,22,21,20,18,NA,NA,NA
"Madagascar","MDG","SSA",24,25,24,26,28,28,28,32,30,26,30,34,32,31,28,31,26,17,NA,NA
"Zimbabwe","ZWE","SSA",24,22,22,22,21,21,21,20,22,24,22,18,21,24,26,23,23,27,29,30
"Eritrea","ERI","SSA",23,24,20,18,18,18,20,25,25,26,26,26,28,29,26,26,NA,NA,NA,NA
"Nicaragua","NIC","AME",22,25,26,26,27,28,28,29,25,25,25,25,26,26,26,27,26,25,24,NA
"Cambodia","KHM","AP",20,20,21,21,21,21,20,22,21,21,20,18,20,21,23,NA,NA,NA,NA,NA
"Chad","TCD","SSA",20,19,20,20,22,22,19,19,20,17,16,16,18,20,17,17,NA,NA,NA,NA
"Iraq","IRQ","MENA",20,18,18,17,16,16,16,18,18,15,15,13,15,19,22,21,22,NA,NA,NA
"Burundi","BDI","SSA",19,17,22,20,21,20,21,19,19,18,18,19,25,24,23,NA,NA,NA,NA,NA
"Congo","COG","SSA",19,19,21,20,23,23,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan","TKM","ECA",19,20,19,22,18,17,17,17,16,16,18,18,20,22,18,20,NA,NA,NA,NA
"Haiti","HTI","AME",18,20,22,20,17,19,19,19,18,22,18,14,16,18,18,15,15,22,NA,NA
"Democratic Republic of the Congo","COD","SSA",18,20,21,21,22,22,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya","LBY","MENA",18,17,17,14,16,18,15,21,20,22,25,26,25,27,25,25,21,NA,NA,NA
"Guinea Bissau","GNB","SSA",18,16,17,16,17,19,19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, North","PRK","AP",17,14,17,12,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela","VEN","AME",16,18,18,17,17,19,20,19,19,20,19,19,20,23,23,23,24,25,28,27
"Equatorial Guinea","GNQ","SSA",16,16,17,NA,NA,NA,19,20,19,19,18,17,19,21,19,NA,NA,NA,NA,NA
"Sudan","SDN","SSA",16,16,16,14,12,11,11,13,16,16,15,16,18,20,21,22,23,NA,NA,NA
"Afghanistan","AFG","AP",16,16,15,15,11,12,8,8,15,14,13,15,18,NA,25,NA,NA,NA,NA,NA
"Yemen","YEM","MENA",15,14,16,14,18,19,18,23,21,22,21,23,25,26,27,24,26,NA,NA,NA
"Syria","SYR","MENA",13,13,14,13,18,20,17,26,26,25,26,21,24,29,34,34,34,NA,NA,NA
"South Sudan","SSD","SSA",12,13,12,11,15,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somalia","SOM","SSA",9,10,9,10,8,8,8,8,10,11,11,10,14,NA,21,NA,NA,NA,NA,NA
